id,name,description,industry,location,founded_year,employee_count,revenue_range
11639,"Nelson, Scott and Taylor",real-time engine for diagnostics.,Healthcare,USA,2000,2917,50M-100M
11640,Elliott and Sons,predictive solution for network optimization.,Telecom,Finland,2024,122,50M-100M
11641,Nguyen Ltd,AI-powered software for route optimization.,Logistics,Sweden,2020,4683,500M+
11642,Morgan-Castillo,predictive infrastructure for observability.,Technology,Sweden,2019,2090,500M+
11643,"Walters, Combs and Gonzalez",cloud-native infrastructure for data pipelines.,Technology,Germany,1995,2482,100M-500M
11644,"Anderson, Washington and Gutierrez",AI-powered software for personalized learning.,Education,Finland,2002,121,10M-50M
11645,Jones-Thomas,distributed platform for supply chain visibility.,Logistics,Germany,1996,739,100M-500M
11646,Parker-Brown,predictive system for lending.,Fintech,Sweden,2002,2508,500M+
11647,"Mathis, Williams and Jones",cloud-native solution for network optimization.,Telecom,Finland,1997,4587,100M-500M
11648,Moore-Garza,AI-powered infrastructure for observability.,Technology,Netherlands,2015,3980,100M-500M
11649,Martinez PLC,AI-powered software for renewable energy.,Energy,Germany,2008,2676,50M-100M
11650,Ward and Sons,cloud-native system for patient monitoring.,Healthcare,Finland,2019,4193,50M-100M
11651,Stafford-Lambert,cloud-native platform for supply chain visibility.,Logistics,UK,2014,4639,500M+
11652,"Hernandez, Lawson and Wood",distributed platform for banking analytics.,Fintech,Norway,2017,126,50M-100M
11653,Moran Ltd,automated engine for autonomous driving.,Automotive,UK,2016,1018,500M+
11654,"Raymond, Torres and Long",real-time engine for smart grid.,Energy,Norway,2006,272,500M+
11655,Hawkins Inc,real-time infrastructure for autonomous driving.,Automotive,Germany,2021,866,50M-100M
11656,Trujillo-Rhodes,AI-powered engine for health data.,Healthcare,France,2004,3768,500M+
11657,"Vargas, Murphy and Morrison",machine learning engine for demand forecasting.,Retail,UK,2003,3795,50M-100M
11658,"Mcdonald, Peck and Hopkins",AI-powered system for payments.,Fintech,Sweden,2013,1516,50M-100M
11659,"Carter, Porter and Ellis",real-time system for autonomous driving.,Automotive,Finland,2008,2732,100M-500M
11660,"Johnson, Tapia and Gonzales",data-driven engine for banking analytics.,Fintech,Norway,1995,3844,50M-100M
11661,Collins Group,machine learning solution for pricing optimization.,Retail,Germany,2010,4337,100M-500M
11662,Hooper-Bennett,data-driven engine for energy forecasting.,Energy,Netherlands,2017,1300,500M+
11663,Watts-Walker,machine learning platform for student analytics.,Education,USA,2011,4382,500M+
11664,"Weiss, Frazier and Cunningham",data-driven infrastructure for observability.,Technology,Sweden,2020,518,50M-100M
11665,Clark-Ortiz,distributed software for diagnostics.,Healthcare,Netherlands,2008,4104,100M-500M
11666,Koch Ltd,automated engine for route optimization.,Logistics,Netherlands,2023,3974,500M+
11667,Whitehead-Smith,machine learning system for observability.,Technology,Sweden,2014,1010,50M-100M
11668,Rogers-White,real-time software for diagnostics.,Healthcare,Netherlands,1999,2936,100M-500M
11669,"Simmons, Duncan and Sparks",data-driven infrastructure for molecular analysis.,Biotech,Sweden,2013,3482,100M-500M
11670,James-Potter,data-driven engine for route optimization.,Logistics,Finland,2009,4234,500M+
11671,Clark and Sons,machine learning system for drug discovery.,Biotech,France,1998,4127,50M-100M
11672,West-Briggs,data-driven software for personalized learning.,Education,France,2024,4840,500M+
11673,Sanchez-Dougherty,real-time engine for personalized learning.,Education,France,1998,354,50M-100M
11674,"Carey, Gutierrez and Fernandez",machine learning platform for renewable energy.,Energy,Netherlands,2010,580,500M+
11675,"Obrien, Martin and Woodward",machine learning engine for personalized learning.,Education,Finland,2024,449,500M+
11676,"Fleming, Mcdonald and Lee",predictive engine for personalized learning.,Education,USA,2019,4164,100M-500M
11677,"Frazier, King and King",AI-powered infrastructure for inventory planning.,Retail,France,2024,3093,50M-100M
11678,Butler-Garcia,machine learning solution for drug discovery.,Biotech,USA,2020,206,10M-50M
11679,Garcia-Huber,real-time infrastructure for renewable energy.,Energy,France,1996,4675,50M-100M
11680,"Daniel, Hughes and Payne",machine learning solution for demand forecasting.,Retail,France,2024,3699,100M-500M
11681,Berg-Foster,automated engine for personalized learning.,Education,USA,2020,1318,50M-100M
11682,"Cervantes, Hughes and Rodgers",distributed infrastructure for network optimization.,Telecom,UK,2021,3199,100M-500M
11683,"Dominguez, Sosa and Bender",predictive engine for patient monitoring.,Healthcare,Finland,2016,2643,100M-500M
11684,"Rasmussen, Nelson and King",automated infrastructure for supply chain visibility.,Logistics,Sweden,2003,512,100M-500M
11685,Preston-Molina,predictive solution for patient monitoring.,Healthcare,Sweden,2015,1209,500M+
11686,"Mcconnell, Malone and Lowe",distributed software for energy forecasting.,Energy,Norway,2005,2155,50M-100M
11687,"Ward, Meyer and Simmons",AI-powered platform for pricing optimization.,Retail,UK,1999,4013,100M-500M
11688,"Nguyen, Marsh and Hall",real-time system for 5G analytics.,Telecom,Sweden,2024,3865,50M-100M
11689,Nelson-Horn,automated engine for fraud detection.,Fintech,Germany,2018,581,50M-100M
11690,"Perez, Rios and Melton",cloud-native system for 5G analytics.,Telecom,UK,2000,2762,500M+
11691,"Wright, Johnson and Foster",real-time software for pricing optimization.,Retail,Germany,1997,3079,100M-500M
11692,"Lee, Harrison and Richards",data-driven software for diagnostics.,Healthcare,Netherlands,2015,460,50M-100M
11693,Brewer and Sons,cloud-native solution for smart grid.,Energy,Sweden,1999,4225,500M+
11694,Sheppard-Morrison,distributed engine for energy forecasting.,Energy,UK,2021,3109,100M-500M
11695,Welch PLC,AI-powered software for 5G analytics.,Telecom,Finland,2018,3171,100M-500M
11696,"Roman, Davis and Nunez",cloud-native software for autonomous driving.,Automotive,Sweden,2021,4468,500M+
11697,Moore Inc,machine learning infrastructure for personalized learning.,Education,Netherlands,1997,4931,100M-500M
11698,Cruz Inc,predictive platform for vehicle telemetry.,Automotive,Norway,2023,3291,50M-100M
11699,"Duran, White and Smith",cloud-native engine for autonomous driving.,Automotive,Norway,2012,4354,50M-100M
11700,Allen Inc,data-driven platform for student analytics.,Education,France,2006,3218,500M+
11701,Hernandez-Jones,data-driven platform for vehicle telemetry.,Automotive,Finland,1995,71,10M-50M
11702,Allen Group,distributed platform for smart grid.,Energy,USA,1995,3391,50M-100M
11703,"Wolf, Robinson and Jones",distributed system for supply chain visibility.,Logistics,Germany,2002,1661,100M-500M
11704,Wheeler and Sons,cloud-native infrastructure for cloud infrastructure.,Technology,Netherlands,2007,3656,500M+
11705,Jackson Inc,machine learning infrastructure for data pipelines.,Technology,USA,2011,1453,500M+
11706,Sanchez PLC,real-time software for vehicle telemetry.,Automotive,Germany,2003,2601,50M-100M
11707,"Herman, Webb and Johnson",predictive solution for banking analytics.,Fintech,Norway,2024,780,50M-100M
11708,White LLC,cloud-native software for route optimization.,Logistics,Netherlands,2002,1584,50M-100M
11709,"Smith, Charles and Sanchez",real-time platform for payments.,Fintech,France,2005,2158,50M-100M
11710,"Mejia, Tucker and Flores",AI-powered solution for patient monitoring.,Healthcare,Finland,2004,279,100M-500M
11711,"Terry, Smith and Lyons",automated system for inventory planning.,Retail,Germany,2009,2411,50M-100M
11712,"Garcia, Perkins and Cuevas",distributed platform for energy forecasting.,Energy,France,2008,2830,500M+
11713,"Miller, Ford and Melton",cloud-native engine for patient monitoring.,Healthcare,Norway,2021,3882,50M-100M
11714,Hoover and Sons,machine learning engine for molecular analysis.,Biotech,USA,2010,3708,50M-100M
11715,Horn-Moreno,automated engine for data pipelines.,Technology,UK,2002,708,50M-100M
11716,Esparza-Mueller,distributed software for banking analytics.,Fintech,Sweden,1997,3473,50M-100M
11717,"Browning, Castillo and Watson",cloud-native infrastructure for demand forecasting.,Retail,Finland,2017,2813,50M-100M
11718,Edwards Ltd,data-driven platform for molecular analysis.,Biotech,Norway,2009,3639,500M+
11719,Torres-Montgomery,machine learning solution for payments.,Fintech,Netherlands,2019,282,500M+
11720,Marshall Ltd,automated solution for inventory planning.,Retail,France,2012,561,500M+
11721,Hurst Ltd,real-time solution for 5G analytics.,Telecom,Germany,2013,4513,500M+
11722,"Chavez, Anderson and Taylor",real-time software for network optimization.,Telecom,Finland,2006,3549,50M-100M
11723,Escobar LLC,predictive platform for inventory planning.,Retail,Sweden,1995,3254,500M+
11724,Williams and Sons,predictive solution for demand forecasting.,Retail,Finland,1996,3252,500M+
11725,"Esparza, Ball and Smith",AI-powered engine for autonomous driving.,Automotive,Netherlands,2010,2764,500M+
11726,"Fitzpatrick, Harris and Burton",distributed platform for gene editing.,Biotech,UK,2023,4092,500M+
11727,"May, White and Harris",cloud-native engine for route optimization.,Logistics,USA,2005,1399,50M-100M
11728,James Ltd,data-driven software for demand forecasting.,Retail,Germany,1999,2006,50M-100M
11729,Johnson PLC,predictive engine for inventory planning.,Retail,France,1999,4588,50M-100M
11730,"Lewis, Baker and Jones",machine learning engine for network optimization.,Telecom,France,2003,2174,100M-500M
11731,Taylor Ltd,predictive solution for gene editing.,Biotech,Netherlands,2018,367,100M-500M
11732,Lopez-Hayes,cloud-native system for 5G analytics.,Telecom,Germany,2020,3841,50M-100M
11733,Ward Ltd,machine learning platform for 5G analytics.,Telecom,USA,2016,1336,500M+
11734,Henson Inc,AI-powered system for renewable energy.,Energy,UK,2011,4450,100M-500M
11735,Rodriguez Group,AI-powered solution for personalized learning.,Education,Germany,2016,1414,100M-500M
11736,Elliott-Swanson,distributed software for pricing optimization.,Retail,Norway,2002,1007,500M+
11737,Rice Ltd,data-driven platform for smart grid.,Energy,Norway,1999,3600,100M-500M
11738,Jackson Group,automated infrastructure for student analytics.,Education,Netherlands,2015,4568,500M+
11739,Frazier-Garcia,real-time solution for network optimization.,Telecom,Sweden,1995,4009,100M-500M
11740,Morales PLC,distributed platform for personalized learning.,Education,Germany,1998,296,500M+
11741,Rodriguez Group,AI-powered infrastructure for gene editing.,Biotech,UK,2007,2716,500M+
11742,Norton-Harmon,distributed platform for vehicle telemetry.,Automotive,Finland,2015,1386,50M-100M
11743,Doyle-Benton,distributed infrastructure for data pipelines.,Technology,Sweden,2023,2898,100M-500M
11744,White Inc,real-time software for cloud infrastructure.,Technology,UK,2000,3570,50M-100M
11745,Lopez-Sanders,real-time system for drug discovery.,Biotech,Germany,2024,4517,50M-100M
11746,Webster-Reynolds,automated solution for fraud detection.,Fintech,USA,2020,1521,50M-100M
11747,Chan and Sons,predictive platform for observability.,Technology,Finland,1995,2486,100M-500M
11748,Williams PLC,predictive software for pricing optimization.,Retail,Sweden,2021,1780,50M-100M
11749,Miller-Jennings,cloud-native engine for drug discovery.,Biotech,Norway,1999,4100,100M-500M
11750,Clark-Vincent,real-time solution for gene editing.,Biotech,Norway,2009,2266,50M-100M
11751,Dougherty-Smith,predictive software for fraud detection.,Fintech,Norway,2007,2180,50M-100M
11752,Jones PLC,distributed infrastructure for vehicle telemetry.,Automotive,France,2020,1237,500M+
11753,Maxwell-Brown,cloud-native infrastructure for cloud infrastructure.,Technology,Netherlands,2013,4583,100M-500M
11754,Johnson-Morris,automated system for inventory planning.,Retail,France,1998,3022,50M-100M
11755,Smith-Green,automated platform for payments.,Fintech,Sweden,1999,30,0-1M
11756,Martin-Carter,machine learning system for inventory planning.,Retail,UK,2019,4987,50M-100M
11757,Griffin-Hall,predictive infrastructure for vehicle telemetry.,Automotive,Sweden,2016,1510,100M-500M
11758,Gordon-Graham,data-driven infrastructure for network optimization.,Telecom,Netherlands,2007,2644,500M+
11759,"Vasquez, Gross and Hansen",cloud-native infrastructure for route optimization.,Logistics,Norway,2008,97,10M-50M
11760,"Perez, Johnson and Cole",machine learning solution for observability.,Technology,Finland,2013,2565,100M-500M
11761,Keller-Rivas,automated infrastructure for diagnostics.,Healthcare,France,2017,1158,500M+
11762,Peck-Hall,predictive engine for pricing optimization.,Retail,Germany,2019,3943,500M+
11763,Robbins-Smith,cloud-native system for cloud infrastructure.,Technology,France,2013,2448,500M+
11764,Orr-Ramos,automated platform for pricing optimization.,Retail,Norway,2023,1830,100M-500M
11765,Davidson-Holden,machine learning software for observability.,Technology,Norway,2004,2428,100M-500M
11766,Spears and Sons,distributed infrastructure for 5G analytics.,Telecom,USA,1999,1006,50M-100M
11767,"Lopez, Johnson and Bradford",machine learning infrastructure for network optimization.,Telecom,Norway,2007,2702,500M+
11768,"Velez, Anderson and Ward",data-driven infrastructure for patient monitoring.,Healthcare,Netherlands,1995,617,500M+
11769,Walton Inc,machine learning software for autonomous driving.,Automotive,Norway,2008,4981,500M+
11770,Scott Group,distributed system for network optimization.,Telecom,Finland,1996,967,100M-500M
11771,Horn PLC,AI-powered engine for autonomous driving.,Automotive,USA,2007,3493,100M-500M
11772,Jones PLC,cloud-native software for autonomous driving.,Automotive,UK,2004,1185,50M-100M
11773,"Williams, Johnson and Turner",automated engine for student analytics.,Education,Norway,2005,2208,50M-100M
11774,Edwards-Jones,machine learning software for gene editing.,Biotech,Germany,2005,4135,100M-500M
11775,Little-Decker,real-time infrastructure for gene editing.,Biotech,USA,2013,2448,500M+
11776,Pham-Ball,AI-powered software for demand forecasting.,Retail,Finland,1998,1116,100M-500M
11777,Williams-Long,cloud-native system for fraud detection.,Fintech,Norway,2006,2368,500M+
11778,"Bell, Burnett and Gonzales",cloud-native engine for network optimization.,Telecom,Sweden,2015,3934,500M+
11779,Gaines-Hawkins,distributed system for pricing optimization.,Retail,Finland,2006,4172,50M-100M
11780,Mccoy Inc,distributed engine for inventory planning.,Retail,Norway,2006,3856,500M+
11781,Shannon LLC,machine learning engine for energy forecasting.,Energy,Germany,2014,1341,100M-500M
11782,West Ltd,predictive engine for lending.,Fintech,Sweden,2018,2822,100M-500M
11783,"Johnson, Walters and Daniels",machine learning infrastructure for molecular analysis.,Biotech,UK,2006,4760,500M+
11784,Case PLC,real-time platform for banking analytics.,Fintech,Sweden,2021,2997,500M+
11785,"Boyd, Ray and Sloan",distributed software for drug discovery.,Biotech,Sweden,1995,17,0-1M
11786,Shea LLC,cloud-native infrastructure for data pipelines.,Technology,Germany,2010,2262,500M+
11787,Hale-Porter,predictive engine for renewable energy.,Energy,USA,2018,4126,100M-500M
11788,"Morales, Gonzales and Barrera",data-driven engine for observability.,Technology,France,2012,2047,100M-500M
11789,"Valencia, Anderson and Cunningham",AI-powered platform for fraud detection.,Fintech,France,1999,3632,50M-100M
11790,"Johnson, Webb and Carroll",distributed infrastructure for smart grid.,Energy,France,2004,2661,500M+
11791,Cole LLC,automated infrastructure for payments.,Fintech,Finland,2021,3048,500M+
11792,Jones-Lam,AI-powered engine for route optimization.,Logistics,USA,1995,1063,50M-100M
11793,Chang-Williams,predictive platform for diagnostics.,Healthcare,Netherlands,2011,424,500M+
11794,Wade PLC,predictive engine for supply chain visibility.,Logistics,Finland,1999,365,500M+
11795,King LLC,AI-powered engine for drug discovery.,Biotech,Finland,1998,2571,50M-100M
11796,Torres PLC,distributed software for 5G analytics.,Telecom,Sweden,1997,4444,100M-500M
11797,Alexander Ltd,cloud-native system for drug discovery.,Biotech,USA,2017,4234,100M-500M
11798,Morris and Sons,distributed engine for diagnostics.,Healthcare,Norway,2013,1063,100M-500M
11799,"Hernandez, Williamson and Gomez",predictive platform for route optimization.,Logistics,Norway,1998,42,0-1M
11800,"Newman, White and Adams",AI-powered platform for lending.,Fintech,Netherlands,1999,960,100M-500M
11801,"Peters, Bowers and Ward",AI-powered infrastructure for observability.,Technology,UK,2006,323,500M+
11802,"Porter, Good and Bernard",real-time software for health data.,Healthcare,Netherlands,2010,4543,100M-500M
11803,"Lawson, Herring and Lewis",predictive system for observability.,Technology,Norway,2014,4626,50M-100M
11804,"Morgan, Kennedy and Cohen",machine learning platform for supply chain visibility.,Logistics,Germany,2008,4756,500M+
11805,Martin LLC,data-driven system for observability.,Technology,UK,2000,3193,100M-500M
11806,Shannon PLC,machine learning engine for route optimization.,Logistics,Norway,2011,1833,500M+
11807,Johnston Group,cloud-native software for student analytics.,Education,France,2011,3135,100M-500M
11808,"Henderson, Reeves and Marsh",data-driven solution for patient monitoring.,Healthcare,UK,2005,3232,100M-500M
11809,Cannon-Mitchell,predictive software for demand forecasting.,Retail,France,1995,2432,100M-500M
11810,Adams-Byrd,data-driven engine for data pipelines.,Technology,UK,1998,925,100M-500M
11811,Richards and Sons,predictive system for drug discovery.,Biotech,UK,2020,941,500M+
11812,Sharp-Long,cloud-native system for payments.,Fintech,Netherlands,2005,1563,100M-500M
11813,"Reed, Mckinney and Morrison",cloud-native system for cloud infrastructure.,Technology,Germany,2023,74,10M-50M
11814,"Quinn, Butler and Gibson",cloud-native platform for observability.,Technology,Netherlands,2011,1838,500M+
11815,Mccormick and Sons,automated engine for drug discovery.,Biotech,France,2015,245,10M-50M
11816,Wright-Mcpherson,machine learning infrastructure for route optimization.,Logistics,Sweden,2015,3578,100M-500M
11817,Rivas LLC,predictive infrastructure for supply chain visibility.,Logistics,USA,2023,1591,500M+
11818,Crosby Ltd,distributed engine for demand forecasting.,Retail,UK,2017,1204,500M+
11819,Brown Inc,AI-powered platform for diagnostics.,Healthcare,USA,2018,1230,100M-500M
11820,Coleman-Sanchez,distributed software for network optimization.,Telecom,Netherlands,2015,3262,50M-100M
11821,Wilson Ltd,automated system for health data.,Healthcare,Finland,1995,724,50M-100M
11822,Davis Group,AI-powered software for autonomous driving.,Automotive,Finland,2020,926,50M-100M
11823,"Gonzalez, Khan and Mercer",predictive infrastructure for payments.,Fintech,Sweden,2010,3099,500M+
11824,Compton Group,machine learning software for fraud detection.,Fintech,Finland,2020,1356,100M-500M
11825,Morales PLC,predictive platform for autonomous driving.,Automotive,Finland,2009,1546,100M-500M
11826,"Barnes, Eaton and Lee",AI-powered solution for drug discovery.,Biotech,Finland,2013,2877,500M+
11827,Johnson-Hill,real-time platform for inventory planning.,Retail,Sweden,2017,4787,50M-100M
11828,Cox-Moran,real-time engine for autonomous driving.,Automotive,Germany,2002,2236,100M-500M
11829,"Velez, Delgado and Parker",predictive platform for energy forecasting.,Energy,Germany,2011,4848,100M-500M
11830,Pitts-Villa,predictive solution for molecular analysis.,Biotech,UK,2002,3836,50M-100M
11831,Jones Group,data-driven platform for personalized learning.,Education,Sweden,2001,2825,50M-100M
11832,Baker-Johnston,data-driven infrastructure for health data.,Healthcare,Netherlands,2015,2979,100M-500M
11833,Frey-Cook,machine learning infrastructure for cloud infrastructure.,Technology,Finland,2012,4873,500M+
11834,"Roberts, Hubbard and Miller",automated system for demand forecasting.,Retail,France,1998,2807,500M+
11835,"Schmidt, Evans and Chase",distributed solution for route optimization.,Logistics,Sweden,2003,1511,50M-100M
11836,Gray-Wagner,automated solution for molecular analysis.,Biotech,UK,2024,1724,50M-100M
11837,Jones-Hanson,automated software for data pipelines.,Technology,USA,2014,3019,500M+
11838,Irwin Group,real-time system for supply chain visibility.,Logistics,Finland,2022,173,50M-100M
11839,Goodwin-May,distributed solution for data pipelines.,Technology,Norway,2015,1283,50M-100M
11840,Barrera Ltd,automated system for drug discovery.,Biotech,Germany,2021,4046,500M+
11841,Roberts-Willis,automated infrastructure for personalized learning.,Education,Norway,2011,4219,50M-100M
11842,"Ewing, Thompson and Alexander",AI-powered platform for route optimization.,Logistics,Germany,2018,2792,50M-100M
11843,Morris Ltd,predictive engine for energy forecasting.,Energy,UK,2008,3061,100M-500M
11844,"Montgomery, Khan and Brooks",real-time engine for gene editing.,Biotech,Norway,1998,2613,500M+
11845,"Hudson, Wilson and Allen",real-time engine for renewable energy.,Energy,UK,1995,1209,50M-100M
11846,Brown LLC,distributed engine for patient monitoring.,Healthcare,USA,1999,2803,50M-100M
11847,Green Ltd,machine learning software for 5G analytics.,Telecom,Finland,2006,1922,500M+
11848,Robles and Sons,distributed platform for health data.,Healthcare,Norway,2020,4464,500M+
11849,Castillo-Carroll,cloud-native engine for personalized learning.,Education,Finland,2018,1029,500M+
11850,"Hurst, Williams and Rosario",automated platform for network optimization.,Telecom,Finland,1996,919,50M-100M
11851,"Jackson, Nguyen and Gonzalez",machine learning platform for energy forecasting.,Energy,UK,1999,4325,50M-100M
11852,Johnson PLC,AI-powered engine for renewable energy.,Energy,Finland,2001,3276,50M-100M
11853,Taylor Group,data-driven platform for personalized learning.,Education,Sweden,2013,2265,50M-100M
11854,Strong-Allen,AI-powered system for personalized learning.,Education,France,2021,1088,100M-500M
11855,Nichols-Becker,data-driven engine for route optimization.,Logistics,Germany,1996,4966,50M-100M
11856,Case-Parker,real-time system for energy forecasting.,Energy,Finland,2003,654,100M-500M
11857,"Williams, Meyers and Jones",AI-powered system for route optimization.,Logistics,France,2013,22,0-1M
11858,Welch-Smith,cloud-native platform for smart grid.,Energy,Norway,2022,2711,50M-100M
11859,Doyle-Garza,automated engine for payments.,Fintech,Netherlands,2005,2534,50M-100M
11860,Swanson Group,predictive solution for diagnostics.,Healthcare,Germany,1998,2440,50M-100M
11861,"Sims, Allen and Griffin",AI-powered software for route optimization.,Logistics,USA,2016,3991,50M-100M
11862,Lawson-Ibarra,distributed solution for lending.,Fintech,UK,2006,3889,500M+
11863,Lloyd Inc,real-time system for cloud infrastructure.,Technology,UK,2024,1378,100M-500M
11864,"Durham, Harper and Graves",predictive engine for demand forecasting.,Retail,USA,2015,3056,500M+
11865,Cruz Inc,predictive solution for gene editing.,Biotech,Germany,2003,3149,500M+
11866,Jones-Mejia,machine learning engine for inventory planning.,Retail,France,2021,3270,100M-500M
11867,Miller-Perkins,distributed software for inventory planning.,Retail,Norway,2002,4371,500M+
11868,Rodriguez and Sons,real-time infrastructure for autonomous driving.,Automotive,Germany,2008,4657,50M-100M
11869,Smith-Acosta,cloud-native software for drug discovery.,Biotech,Sweden,1999,3852,500M+
11870,Miller Inc,distributed platform for patient monitoring.,Healthcare,Germany,2008,545,500M+
11871,Browning Inc,real-time solution for 5G analytics.,Telecom,Norway,1998,1043,50M-100M
11872,Lozano Group,automated software for data pipelines.,Technology,Finland,1997,3108,100M-500M
11873,Grant PLC,distributed software for student analytics.,Education,Finland,2021,469,50M-100M
11874,"Perry, Carney and Dalton",AI-powered solution for cloud infrastructure.,Technology,Sweden,2009,2011,500M+
11875,Fowler Inc,machine learning infrastructure for 5G analytics.,Telecom,France,2019,4680,100M-500M
11876,Brown Group,cloud-native infrastructure for fraud detection.,Fintech,USA,2003,2302,50M-100M
11877,Baker Ltd,distributed software for payments.,Fintech,Finland,2024,342,500M+
11878,"Kelley, Thomas and Johnson",automated engine for observability.,Technology,Sweden,2010,1040,100M-500M
11879,Montgomery-Hines,data-driven solution for observability.,Technology,UK,2017,1146,50M-100M
11880,"Munoz, Fields and Hanna",cloud-native software for patient monitoring.,Healthcare,USA,1997,1662,50M-100M
11881,"Golden, Martin and Huynh",machine learning infrastructure for student analytics.,Education,Finland,2017,2254,100M-500M
11882,"Jones, Miller and Massey",data-driven infrastructure for demand forecasting.,Retail,Norway,2009,832,50M-100M
11883,Scott Inc,data-driven platform for network optimization.,Telecom,UK,2024,568,100M-500M
11884,"Alvarez, Wilkinson and Jackson",machine learning system for network optimization.,Telecom,Sweden,2003,3428,500M+
11885,"Anthony, Lowery and Jones",cloud-native platform for student analytics.,Education,Netherlands,2018,4130,500M+
11886,Riley-Jackson,automated software for gene editing.,Biotech,Finland,2003,492,500M+
11887,"House, Morris and George",real-time infrastructure for supply chain visibility.,Logistics,Germany,2023,2258,100M-500M
11888,"Nelson, Hester and Keller",real-time system for renewable energy.,Energy,UK,2016,500,50M-100M
11889,"Kim, Woodard and Hurst",machine learning infrastructure for student analytics.,Education,Norway,2003,2281,50M-100M
11890,"Hubbard, Gordon and Watkins",machine learning infrastructure for health data.,Healthcare,USA,2009,1199,50M-100M
11891,Morgan Group,data-driven system for demand forecasting.,Retail,France,2016,4628,100M-500M
11892,Andrews-Keller,machine learning system for inventory planning.,Retail,France,2017,1567,50M-100M
11893,"Davidson, Allison and Clark",automated infrastructure for supply chain visibility.,Logistics,Sweden,1995,2053,500M+
11894,Hamilton-Harrison,automated infrastructure for health data.,Healthcare,Netherlands,2003,2712,50M-100M
11895,"Garrett, Williams and Willis",data-driven platform for inventory planning.,Retail,France,2019,3726,50M-100M
11896,"Nelson, Chambers and Garcia",real-time software for autonomous driving.,Automotive,USA,1996,1508,500M+
11897,Ingram and Sons,data-driven solution for personalized learning.,Education,UK,2016,4319,100M-500M
11898,"Brown, Young and Dudley",cloud-native solution for smart grid.,Energy,UK,2023,2276,500M+
11899,Harmon-Baxter,data-driven engine for gene editing.,Biotech,Norway,2001,4568,50M-100M
11900,"Kelly, Arnold and Ortiz",data-driven platform for inventory planning.,Retail,UK,2022,4658,500M+
11901,"Maynard, Coleman and Smith",distributed engine for cloud infrastructure.,Technology,UK,2004,4053,100M-500M
11902,"Barnes, Howard and Rhodes",AI-powered platform for energy forecasting.,Energy,France,2016,1251,50M-100M
11903,Smith-Tucker,distributed platform for network optimization.,Telecom,Norway,2013,2318,50M-100M
11904,Robles Inc,machine learning software for patient monitoring.,Healthcare,France,2013,4013,500M+
11905,Davis LLC,distributed solution for inventory planning.,Retail,Sweden,1999,447,50M-100M
11906,Price Ltd,automated system for route optimization.,Logistics,Sweden,2002,118,50M-100M
11907,James Ltd,data-driven engine for observability.,Technology,Netherlands,2013,158,50M-100M
11908,Melendez-Fox,distributed solution for data pipelines.,Technology,Netherlands,2022,3393,100M-500M
11909,Bond LLC,distributed system for molecular analysis.,Biotech,Sweden,2005,2368,100M-500M
11910,"Carter, Shaw and Mcgrath",real-time engine for supply chain visibility.,Logistics,UK,1995,2310,500M+
11911,"Schultz, Morris and Brooks",AI-powered software for student analytics.,Education,Sweden,2008,42,0-1M
11912,Moore-Hill,cloud-native infrastructure for pricing optimization.,Retail,Germany,2021,1347,50M-100M
11913,Ruiz Group,machine learning solution for data pipelines.,Technology,Netherlands,2000,3979,50M-100M
11914,"Landry, Rivera and Morrow",AI-powered infrastructure for route optimization.,Logistics,Germany,2018,2198,100M-500M
11915,"Kline, Morse and House",data-driven engine for fraud detection.,Fintech,Netherlands,2004,3268,500M+
11916,Ellis-Walker,AI-powered solution for 5G analytics.,Telecom,Germany,2003,879,500M+
11917,Castro-Brady,machine learning software for lending.,Fintech,Germany,2007,4836,100M-500M
11918,"Gomez, Knapp and Moore",real-time solution for energy forecasting.,Energy,Norway,1995,4289,100M-500M
11919,Jackson LLC,real-time software for network optimization.,Telecom,UK,2000,4243,100M-500M
11920,"Pierce, Roberts and Ellis",real-time system for personalized learning.,Education,UK,1999,391,500M+
11921,"Singleton, Williams and Keller",distributed solution for vehicle telemetry.,Automotive,Norway,2008,4043,500M+
11922,Mejia-Christian,cloud-native system for student analytics.,Education,UK,2009,2853,500M+
11923,Chapman-Walters,automated infrastructure for student analytics.,Education,USA,2005,4855,100M-500M
11924,Howell PLC,automated platform for molecular analysis.,Biotech,Germany,2008,825,500M+
11925,"Hodges, Gay and Murphy",distributed engine for observability.,Technology,USA,2022,4963,500M+
11926,Clark PLC,predictive infrastructure for supply chain visibility.,Logistics,Netherlands,2021,1789,500M+
11927,Crawford-Gregory,real-time system for lending.,Fintech,France,2013,2673,500M+
11928,"Clements, Elliott and Brown",distributed infrastructure for payments.,Fintech,Germany,2017,2262,100M-500M
11929,Wilkins Ltd,machine learning platform for health data.,Healthcare,Norway,2021,89,10M-50M
11930,"Morgan, Johnson and Smith",AI-powered software for supply chain visibility.,Logistics,Norway,1998,4683,50M-100M
11931,"Baker, Davis and Hudson",cloud-native system for student analytics.,Education,Sweden,2013,1581,100M-500M
11932,Pugh LLC,machine learning infrastructure for 5G analytics.,Telecom,Norway,2017,4175,50M-100M
11933,Perry Ltd,predictive system for energy forecasting.,Energy,UK,2017,4752,50M-100M
11934,Harrison-Flores,predictive engine for gene editing.,Biotech,Finland,2010,2702,100M-500M
11935,"Daniels, Jones and Kaiser",automated system for patient monitoring.,Healthcare,France,1996,2418,50M-100M
